Letter_n,n,max_n,Letter_n+1,Freq
-,0,2,ड,13
ड,1,2,ग,1
ग,2,2,-,47
-,0,2,प,44
प,1,2,का,3
का,2,2,-,46
प,1,2,की,2
की,2,2,-,41
-,0,2,ब,53
ब,1,2,दी,1
दी,2,2,-,32
-,0,2,ल,22
ल,1,2,ग,1
-,0,2,व,14
व,1,2,द,1
द,2,2,-,37
-,0,2,स,43
स,1,2,गी,2
गी,2,2,-,38
-,0,4,सं,188
सं,1,4,भा,15
भा,2,4,वि,5
वि,3,4,त,10
त,4,4,-,524
-,0,2,ह,17
ह,1,2,द,2
-,0,3,व,58
व,1,3,र्,14
र्,2,3,ष,5
ष,3,3,-,34
-,0,2,अं,19
अं,1,2,क,1
क,2,2,-,72
-,0,5,अं,26
अं,1,5,क,4
क,2,5,ग,1
ग,3,5,णि,1
णि,4,5,त,2
त,5,5,-,406
क,2,5,ता,1
ता,3,5,लि,3
लि,4,5,का,2
का,5,5,-,25
-,0,6,अं,22
अं,1,6,क,2
क,2,6,ता,3
ता,3,6,लि,2
लि,4,6,का,2
का,5,6,एं,3
एं,6,6,-,20
का,5,6,ओं,5
ओं,6,6,-,55
-,0,3,अं,62
अं,1,3,क,1
क,2,3,न,6
न,3,3,-,370
क,2,5,प,4
प,3,5,त्,25
त्,4,5,र,50
र,5,5,-,686
त्,4,5,रों,11
रों,5,5,-,104
अं,1,3,कि,2
कि,2,3,त,2
त,3,3,-,264
कि,2,3,ता,1
ता,3,3,-,307
-,0,4,अं,42
अं,1,4,कु,1
कु,2,4,रि,1
रि,3,4,त,17
अं,1,5,के,1
के,2,5,क्,1
क्,3,5,ष,42
ष,4,5,कों,12
कों,5,5,-,74
अं,1,2,कों,1
कों,2,2,-,12
-,0,3,अ,247
अ,1,3,खि,2
खि,2,3,यां,4
यां,3,3,-,98
अं,1,2,ग,1
अं,1,3,ग,1
ग,2,3,ना,12
ना,3,3,-,384
अं,1,6,ग,3
ग,2,6,र,9
र,3,6,क्,16
क्,4,6,ष,35
ष,5,6,क,12
क,6,6,-,182
ष,5,6,कों,7
कों,6,6,-,28
अं,1,4,ग,6
ग,2,4,रे,3
रे,3,4,ज,3
ज,4,4,-,105
ग,2,6,व,2
व,3,6,स्,12
स्,4,6,त्,3
त्,5,6,र,37
र,6,6,-,226
-,0,7,अं,11
अं,1,7,ग,2
ग,2,7,व,4
व,3,7,स्,8
स्,4,7,त्,5
त्,5,7,र,5
र,6,7,म,3
म,7,7,-,14
र,6,7,म्,1
म्,7,7,-,1
ग,2,4,ही,2
ही,3,4,न,4
न,4,4,-,494
अं,1,3,गा,4
गा,2,3,रा,2
रा,3,3,-,160
गा,2,3,रे,1
रे,3,3,-,106
गा,2,3,रों,1
रों,3,3,-,134
अं,1,3,गि,1
गि,2,3,का,1
का,3,3,-,132
अं,1,4,गी,2
गी,2,4,का,1
का,3,4,र,49
र,4,4,-,970
गी,2,4,कृ,1
कृ,3,4,त,9
अं,1,3,गी,1
गी,2,3,ठी,1
ठी,3,3,-,17
अं,1,3,गु,5
गु,2,3,ठा,1
ठा,3,3,-,11
अं,1,4,गु,3
गु,2,4,ठि,1
ठि,3,4,यां,5
यां,4,4,-,173
गु,2,3,ठी,1
गु,2,3,ल,5
ल,3,3,-,242
गु,2,4,लि,2
लि,3,4,यां,12
लि,3,4,यों,23
यों,4,4,-,297
गु,2,3,ली,1
ली,3,3,-,149
अं,1,3,गू,6
गू,2,3,ठा,1
अं,1,4,गू,1
गू,2,4,ठि,1
गू,2,3,ठी,1
गू,2,3,ठे,1
ठे,3,3,-,8
गू,2,3,ठों,1
ठों,3,3,-,4
गू,2,3,र,2
र,3,3,-,435
गू,2,3,री,1
री,3,3,-,210
अं,1,3,गे,1
गे,2,3,श,1
श,3,3,-,61
अं,1,2,गों,1
गों,2,2,-,23
अं,1,3,गो,2
गो,2,3,छा,1
छा,3,3,-,10
गो,2,3,छे,1
छे,3,3,-,7
अं,1,3,गौ,2
गौ,2,3,छा,1
गौ,2,3,छे,1
अं,1,4,ग्,3
ग्,2,4,रे,4
रे,3,4,जी,1
जी,4,4,-,32
रे,3,4,जों,1
जों,4,4,-,14
ग,2,4,ड़ा,2
ड़ा,3,4,ई,2
ई,4,4,-,109
अं,1,3,च,2
च,2,3,ल,4
अं,1,6,च,4
च,2,6,ल,3
ल,3,6,क,5
क,4,6,र्,26
र्,5,6,मी,16
मी,6,6,-,31
अं,1,5,च,2
च,2,5,ल,3
ल,3,5,वा,24
वा,4,5,र,29
च,2,3,लों,4
लों,3,3,-,70
अं,1,3,ज,3
ज,2,3,नि,1
नि,3,3,-,5
ज,2,3,ला,3
ला,3,3,-,156
ज,2,3,ली,5
अं,1,3,जा,5
जा,2,3,ना,5
जा,2,3,नी,2
नी,3,3,-,224
जा,2,3,ने,5
ने,3,3,-,495
जा,2,3,म,3
म,3,3,-,136
