Letter_n,n,max_n,Letter_n+1,Freq
అం,1,2,క,1
క,2,2,-,123
అం,1,4,క,5
క,2,4,కాం,2
కాం,3,4,డు,76
డు,4,4,-,1568
అం,1,5,క,2
క,2,5,గ,1
గ,3,5,ణి,2
ణి,4,5,తం,1
తం,5,5,-,9
క,2,4,ణ,9
ణ,3,4,ము,127
ము,4,4,-,3565
క,2,4,న,4
న,3,4,ము,335
క,2,4,పా,2
పా,3,4,ళి,1
ళి,4,4,-,39
అం,1,6,క,1
క,2,6,పొం,1
పొం,3,6,క,2
క,4,6,ము,5
ము,5,6,లు,70
లు,6,6,-,392
అం,1,3,క,1
క,2,3,ము,66
ము,3,3,-,1145
క,2,4,మ్,1
మ్,3,4,మ,8
మ,4,4,-,85
క,2,5,వి,4
వి,3,5,ద్,6
ద్,4,5,య,6
య,5,5,-,132
అం,1,3,కా,2
కా,2,3,ట,1
ట,3,3,-,187
కా,2,3,డు,2
డు,3,3,-,554
అం,1,6,కా,1
కా,2,6,పొం,1
అం,1,4,కా,1
కా,2,4,రిం,2
రిం,3,4,చు,93
చు,4,4,-,676
అం,1,3,కి,3
కి,2,3,తం,1
తం,3,3,-,13
అం,1,4,కి,3
కి,2,4,త,3
త,3,4,ము,363
కి,2,3,య,6
య,3,3,-,297
కి,2,4,య,1
య,3,4,ము,329
కి,2,3,లి,8
లి,3,3,-,188
అం,1,5,కి,1
కి,2,5,లి,3
లి,3,5,ప,4
ప,4,5,డు,110
డు,5,5,-,1527
అం,1,6,కి,1
కి,2,6,లి,4
లి,3,6,పె,2
పె,4,6,ట్,33
ట్,5,6,టు,148
టు,6,6,-,191
కి,2,4,ళ్,2
ళ్,3,4,లు,20
లు,4,4,-,517
అం,1,2,కు,1
కు,2,2,-,81
అం,1,3,కుం,1
కుం,2,3,డు,18
అం,1,4,కుం,1
కుం,2,4,బో,1
బో,3,4,తు,7
తు,4,4,-,94
అం,1,4,కు,8
కు,2,4,ట,4
ట,3,4,ము,120
కు,2,4,టా,1
టా,3,4,లు,6
అం,1,5,కు,3
కు,2,5,తె,1
తె,3,5,వు,3
వు,4,5,లు,12
లు,5,5,-,549
కు,2,5,మ,5
మ,3,5,గం,8
గం,4,5,డు,12
కు,2,4,ర,4
ర,3,4,ము,490
కు,2,4,రిం,4
కు,2,5,రి,1
రి,3,5,త,21
త,4,5,ము,402
ము,5,5,-,3400
అం,1,7,కు,2
కు,2,7,ల,2
ల,3,7,రా,1
రా,4,7,ట్,1
ట్,5,7,న,1
న,6,7,ము,96
ము,7,7,-,756
కు,2,4,లాం,3
లాం,3,4,డి,9
డి,4,4,-,230
కు,2,4,వో,2
వో,3,4,వు,25
వు,4,4,-,244
అం,1,3,కు,1
కు,2,3,శ,1
శ,3,3,-,17
కు,2,4,శ,1
శ,3,4,ము,44
కు,2,7,సం,1
సం,3,7,బు,1
బు,4,7,మా,1
మా,5,7,ద్,1
ద్,6,7,రి,1
రి,7,7,-,37
కు,2,4,స,1
స,3,4,ము,90
అం,1,4,కూ,1
కూ,2,4,ర,1
అం,1,2,కె,1
కె,2,2,-,10
అం,1,4,కె,1
కె,2,4,గొ,1
గొ,3,4,ను,52
ను,4,4,-,273
అం,1,3,కె,3
కె,2,3,త,2
త,3,3,-,238
కె,2,3,న,8
న,3,3,-,263
కె,2,3,ము,1
అం,1,6,కె,1
కె,2,6,వ,1
వ,3,6,న్,3
న్,4,6,ని,2
ని,5,6,య,4
య,6,6,-,83
అం,1,4,కో,1
కో,2,4,ల,2
ల,3,4,ము,193
అం,1,4,క్,1
క్,2,4,య,10
అం,1,2,గ,1
గ,2,2,-,86
అం,1,2,గం,1
గం,2,2,-,8
అం,1,8,గ,1
గ,2,8,క,2
క,3,8,త్,2
త్,4,8,రుం,2
రుం,5,8,చి,1
చి,6,8,వై,1
వై,7,8,చె,1
చె,8,8,-,10
అం,1,3,గ,7
గ,2,3,జం,1
జం,3,3,-,5
అం,1,4,గ,10
గ,2,4,జుం,1
జుం,3,4,డు,20
గ,2,4,జో,3
జో,3,4,ల,1
ల,4,4,-,258
గ,2,3,డి,6
డి,3,3,-,119
అం,1,6,గ,10
గ,2,6,డిం,1
డిం,3,6,బె,1
బె,4,6,ట్,7
గ,2,6,డి,1
డి,3,6,బొ,2
బొ,4,6,మ్,1
మ్,5,6,మ,18
మ,6,6,-,37
గ,2,3,ణ,3
ణ,3,3,-,64
గ,2,4,ణ,3
గ,2,3,ద,1
ద,3,3,-,83
గ,2,6,ద,3
ద,3,6,ట్,1
ట్,4,6,ట,16
ట,5,6,ము,57
ము,6,6,-,1992
ద,3,6,పు,1
పు,4,6,ర,12
ర,5,6,ము,214
గ,2,4,దుం,1
దుం,3,4,డు,26
గ,2,4,దు,1
దు,3,4,డు,5
అం,1,5,గ,9
గ,2,5,దే,2
దే,3,5,శ,17
శ,4,5,ము,53
గ,2,6,ద్,1
ద్,3,6,వ,5
వ,4,6,య,5
య,5,6,ము,267
గ,2,3,న,2
గ,2,5,బి,1
బి,3,5,ల్,2
ల్,4,5,ల,17
ల,5,5,-,144
గ,2,6,మ,5
మ,3,6,చ్,1
చ్,4,6,చ,7
చ,5,6,ము,6
మ,3,6,ర్,16
ర్,4,6,జుం,1
జుం,5,6,డు,13
డు,6,6,-,903
గ,2,3,ము,54
గ,2,4,మొ,1
మొ,3,4,ల,2
అం,1,7,గ,3
గ,2,7,మొ,1
మొ,3,7,ల,2
ల,4,7,వే,1
వే,5,7,ల్,2
ల్,6,7,పు,2
పు,7,7,-,15
గ,2,4,ర,20
ర,3,4,క,13
క,4,4,-,541
ర,3,4,కా,1
కా,4,4,-,37
గ,2,7,ర,1
ర,3,7,క్,3
క్,4,7,ష,20
ష,5,7,కు,4
కు,6,7,డు,10
డు,7,7,-,385
గ,2,5,ర,4
ర,3,5,క్,6
క్,4,5,షా,1
షా,5,5,-,2
గ,2,5,రా,3
రా,3,5,గ,4
గ,4,5,ము,96
గ,2,5,రు,3
రు,3,5,హ,13
హ,4,5,ము,56
గ,2,4,రే,2
రే,3,4,కు,1
కు,4,4,-,85
గ,2,6,రొ,1
రొ,3,6,ల్,1
ల్,4,6,లె,1
లె,5,6,లు,1
గ,2,5,లా,2
లా,3,5,రు,5
రు,4,5,చు,7
చు,5,5,-,535
రు,4,5,పు,2
పు,5,5,-,116
గ,2,5,లిం,1
లిం,3,5,పం,1
పం,4,5,గా,1
గా,5,5,-,19
గ,2,3,ళ,3
ళ,3,3,-,31
గ,2,7,వ,1
వ,3,7,స్,5
స్,4,7,త్,2
త్,5,7,ర,26
ర,6,7,ము,88
గ,2,4,విం,2
విం,3,4,చు,16
గ,2,6,వై,1
వై,3,6,క,1
క,4,6,ల్,4
ల్,5,6,యం,1
యం,6,6,-,12
గ,2,6,ష,1
ష,3,6,ట్,8
ట్,4,6,మ,6
మ,5,6,ము,64
గ,2,5,హా,1
హా,3,5,ర,14
ర,4,5,ము,434
అం,1,3,గా,1
గా,2,3,ర,4
ర,3,3,-,283
అం,1,5,గా,4
గా,2,5,ర,5
ర,3,5,క,16
క,4,5,ము,287
అం,1,7,గా,3
గా,2,7,ర,5
ర,3,7,క,1
క,4,7,వా,1
వా,5,7,ర,2
ర,3,5,కుం,7
కుం,4,5,డు,131
ర,3,5,కు,2
కు,4,5,డు,34
అం,1,6,గా,3
గా,2,6,ర,5
ర,3,6,ధా,3
ధా,4,6,ని,1
ని,5,6,క,4
క,6,6,-,182
ర,3,7,ప,9
ప,4,7,ర్,5
ర్,5,7,డు,1
డు,6,7,డు,1
అం,1,4,గా,3
గా,2,4,ర,10
ర,3,7,వ,8
వ,4,7,ల్,4
ల్,5,7,ల,11
ల,6,7,రి,1
ర,3,6,వ,11
వ,4,6,ల్,6
ల్,5,6,లి,19
లి,6,6,-,62
ర,3,6,శ,3
శ,4,6,క,7
క,5,6,టి,11
టి,6,6,-,34
గా,2,4,రి,2
రి,3,4,క,35
రి,3,4,ణి,6
ణి,4,4,-,74
గా,2,5,ళా,2
ళా,3,5,దుం,2
దుం,4,5,న,1
న,5,5,-,174
అం,1,2,గి,1
గి,2,2,-,44
అం,1,3,గి,3
గి,2,3,క,4
క,3,3,-,644
గి,2,3,కా,1
కా,3,3,-,58
అం,1,6,గి,1
గి,2,6,టి,1
టి,3,6,ము,2
ము,4,6,ల్,4
ల్,5,6,లు,66
అం,1,5,గి,2
గి,2,5,ర,4
ర,3,5,సు,2
సు,4,5,డు,7
గి,2,3,లి,10
గి,2,5,లి,2
లి,3,5,గుం,1
గుం,4,5,ట,3
ట,5,5,-,107
అం,1,2,గీ,1
గీ,2,2,-,10
అం,1,5,గీ,3
గీ,2,5,క,1
క,3,5,రిం,35
రిం,4,5,చు,110
అం,1,9,గీ,1
గీ,2,9,క,1
క,3,9,రిం,2
రిం,4,9,ప,1
ప,5,9,బ,3
బ,6,9,డి,17
డి,7,9,న,19
న,8,9,ది,41
ది,9,9,-,50
అం,1,4,గీ,1
గీ,2,4,కా,1
కా,3,4,రం,4
రం,4,4,-,29
గీ,2,5,కా,1
కా,3,5,ర,35
గీ,2,5,కృ,1
కృ,3,5,త,20
అం,1,2,గు,1
గు,2,2,-,90
అం,1,4,గు,3
గు,2,4,ట,4
అం,1,3,గు,5
గు,2,3,డి,3
గు,2,3,డు,23
అం,1,6,గు,8
గు,2,6,డు,6
డు,3,6,దు,1
దు,4,6,డి,1
డి,5,6,పి,1
పి,6,6,-,9
గు,2,6,రీ,1
రీ,3,6,య,1
య,4,6,క,9
